REGION,LOCATION_NAME,LATITUDE,LONGITUDE,WIND SPEED,WIND DIRECTION,POW
Karnataka,Gadag,15.42,75.62,15.678985507246376,146.53623188405797,3563.8825443302303
Karnataka,Gulbarga,17.33,76.83,12.193478260869565,131.18840579710144,2759.5425522272776
Karnataka,Hassan,13.0,76.1,10.668382352941178,157.7941176470588,2672.2757759327033
Karnataka,Haveri,14.8,75.4,11.807246376811595,171.20289855072463,3324.571796346337
Karnataka,Kolar,13.13,78.13,11.082608695652175,151.34782608695653,2902.381424563845
Karnataka,Koppal,15.349999999999998,76.15,15.665942028985508,141.2246376811594,3563.8825443302303
Karnataka,Mandya,12.52,76.9,9.757246376811594,147.96376811594203,2179.1513969088714
Karnataka,Mysore,12.31,76.65,9.276086956521738,158.15942028985506,2027.079912080856
Karnataka,Nandi Hills,13.33,77.65,11.201418439716313,153.24822695035462,2994.6384616554087
Karnataka,Raichur,16.2,77.37,13.494927536231884,144.47101449275362,3540.2726516948146
Karnataka,Shimoga,13.92,75.57,7.273188405797102,169.30434782608697,1043.2145868011985
Karnataka,Tumkur,13.34,77.1,10.196376811594202,156.1304347826087,2495.734937945106
Karnataka,Udupi,13.35,74.75,5.402898550724638,69.3913043478261,362.6197947626048
Karnataka,Yadgir,16.77,77.13,11.469565217391304,141.43478260869566,3092.139646596287
Kerala,Alappuzha,9.49,76.33,8.181159420289855,155.91304347826087,1449.4485099240565
Kerala,Ernakulam,9.98,76.28,5.405797101449275,104.0,479.7841265976749
Kerala,Idukki,9.85,76.97,6.415217391304347,178.41304347826087,686.3087945608947
Kerala,Kannur,11.87,75.37,6.181159420289855,100.04347826086956,796.9218041894679
Kerala,Kasaragod,12.5,75.0,5.3673913043478265,63.96376811594203,343.51715923792585
Kerala,Kollam,8.88,76.59,9.59927536231884,160.78985507246378,2180.721806415193
Kerala,Kottayam,9.58,76.52,4.207971014492754,100.3768115942029,184.61206613154474
Kerala,Kozhikode,11.25,75.77,5.643478260869565,103.68840579710145,487.911492365145
Kerala,Mahe,11.7,75.53,6.702898550724638,82.19565217391305,867.7090342208846
Kerala,Malappuram,11.07,76.07,5.565942028985507,104.41304347826087,454.9919058479824
Kerala,Palakkad,10.77,76.65,8.668840579710144,145.0072463768116,1673.7107368571315
Kerala,Pathanamthitta,9.27,76.78,3.86231884057971,109.40579710144928,115.88234122490361
Kerala,Thiruvananthapuram,8.51,76.96,5.138405797101449,129.68115942028984,323.7489699513562
Kerala,Thrissur,10.52,76.22,5.452173913043478,103.68115942028986,461.7881412275645
Lakshadweep,Kavaratti,10.57,72.62,13.00072463768116,236.2536231884058,3502.8683956653344
Madhya Pradesh,Agar,23.7,76.02,10.81304347826087,156.5144927536232,2675.509904973937
Madhya Pradesh,Alirajpur,22.3,74.35,9.164492753623188,156.36231884057972,1954.3082928988356
Madhya Pradesh,Anuppur,23.1,81.68,4.98768115942029,207.65942028985506,278.5610379189592
Madhya Pradesh,Ashoknagar,24.57,77.72,9.869565217391305,145.68840579710144,2347.9594738702503
Madhya Pradesh,Balaghat,21.78,80.25,5.9543478260869565,107.71014492753623,599.2199762611054
Madhya Pradesh,Barwani,22.03,74.9,8.567391304347826,156.1159420289855,1648.5237349528322
Madhya Pradesh,Betul,21.86,77.93,5.939855072463769,133.15217391304347,505.0738844754036
Madhya Pradesh,Bhind,26.56,78.79,7.458695652173913,172.6304347826087,1117.0916460875792
Madhya Pradesh,Bhopal,23.27,77.4,8.157246376811594,159.17391304347825,1442.334924304623
Madhya Pradesh,Burhanpur,21.3,76.23,6.891304347826087,126.08695652173913,849.0862304875158
Madhya Pradesh,Chhatarpur,24.9,79.6,7.245652173913044,151.16666666666666,1041.4887470550273
Madhya Pradesh,Chhindwara,22.07,78.93,7.455072463768116,149.58695652173913,1106.3617384028378
Madhya Pradesh,Damoh,23.83,79.45,6.533333333333333,129.53623188405797,741.6446672208625
Madhya Pradesh,Datia,25.67,78.47,7.328985507246377,178.07246376811594,1076.7798000051437
Madhya Pradesh,Dewas,22.97,76.07,8.733333333333334,131.94927536231884,1731.0902175844828
Madhya Pradesh,Dhar,22.6,75.3,8.807246376811595,133.1159420289855,1798.9418289671664
Madhya Pradesh,Dindori,22.95,81.08,4.644202898550724,165.7173913043478,211.7641231883059
Madhya Pradesh,Guna,24.65,77.32,9.995652173913044,138.14492753623188,2371.3498384774175
Madhya Pradesh,Gwalior,26.22,78.18,6.731159420289855,192.65942028985506,786.853942436489
Madhya Pradesh,Harda,22.33,77.1,8.773188405797102,148.93478260869566,1725.2655837763264
Madhya Pradesh,Hoshangabad,22.75,77.72,7.226811594202898,127.42028985507247,1016.0092554006002
Madhya Pradesh,Indore,22.72,75.83,8.620289855072462,135.57971014492753,1645.7370580226154
Madhya Pradesh,Jabalpur,23.17,79.95,5.971014492753623,133.7246376811594,538.835178467813
Madhya Pradesh,Jhabua,22.77,74.6,9.95217391304348,148.97101449275362,2360.3554068893645
Madhya Pradesh,Khandwa,21.83,76.33,9.35072463768116,161.07246376811594,2047.5517984764417
Madhya Pradesh,Khargone,21.82,75.6,8.35072463768116,162.55072463768116,1581.0987183167192
Madhya Pradesh,Mandla,22.6,80.38,4.843478260869565,127.09420289855072,238.78642810598964
Madhya Pradesh,Mandsaur,24.07,75.07,10.880434782608695,155.68840579710144,2663.469567041383
Madhya Pradesh,Morena,26.5,78.0,7.067391304347826,182.31884057971016,939.2659992232532
Madhya Pradesh,Narsimhapur,22.95,79.2,5.978102189781022,131.85401459854015,541.569114264438
Madhya Pradesh,Neemuch,24.48,74.87,9.876086956521739,153.59420289855072,2347.9594738702503
Madhya Pradesh,Panna,24.72,80.2,6.8536231884057965,148.41304347826087,831.2507344003819
Madhya Pradesh,Raisen,23.33,77.8,7.63623188405797,157.7536231884058,1224.5636759230629
Madhya Pradesh,Ratlam,23.32,75.07,11.559420289855073,149.15942028985506,3085.176459634789
Madhya Pradesh,Rewa,24.53,81.3,6.361594202898551,156.02898550724638,650.8254638551788
Madhya Pradesh,Sagar,23.83,78.72,8.00072463768116,141.1231884057971,1374.4302147836042
Madhya Pradesh,Satna,24.58,80.83,5.63768115942029,159.15942028985506,443.95423504195037
Madhya Pradesh,Sehore,23.2,77.08,8.7,159.7753623188406,1723.9540599327581
Madhya Pradesh,Seoni,22.08,79.53,7.5722627737226285,156.94160583941607,1216.9051506192286
Madhya Pradesh,Shahdol,23.28,81.35,5.276086956521739,178.5072463768116,337.1351413083155
Madhya Pradesh,Shajapur,23.43,76.27,10.342028985507246,152.66666666666666,2566.285411946225
Madhya Pradesh,Sheopur,25.67,76.7,8.273188405797102,124.8913043478261,1462.2366754613793
Madhya Pradesh,Shivpuri,25.43,77.65,7.98840579710145,154.2463768115942,1374.119052056951
Madhya Pradesh,Sidhi,24.42,81.88,5.571739130434782,165.32608695652175,415.8168525011297
Madhya Pradesh,Sirmaur,24.85,81.38,5.547101449275362,197.30434782608697,414.71207061902845
Madhya Pradesh,Ujjain,23.18,75.77,8.628985507246377,131.31884057971016,1625.6758050321027
Madhya Pradesh,Umaria,23.53,80.83,5.405072463768116,153.0072463768116,379.77701398766783
Madhya Pradesh,Vidisha,23.53,77.82,7.684057971014494,157.79710144927537,1243.605540685433
Maharashtra,Ahmadnagar,19.08,74.73,10.192753623188405,163.28985507246378,2498.023092042707
Maharashtra,Akola,20.73,77.0,10.659420289855072,155.68115942028984,2672.20107628988
Maharashtra,Amravati,20.93,77.75,9.023188405797102,133.09420289855072,1907.1990026011117
Maharashtra,Aurangabad,19.88,75.33,8.523188405797102,128.94927536231884,1622.4079176327982
Maharashtra,Bhandara,21.17,79.65,7.446376811594202,102.28985507246377,1129.0707028331992
Maharashtra,Bid,18.98,75.77,9.515942028985508,167.52898550724638,2150.2655145165563
Maharashtra,Buldana,20.53,76.18,9.43840579710145,185.90579710144928,2135.4109236827007
Maharashtra,Chandrapur,19.95,79.3,5.878260869565218,151.45652173913044,496.724687638684
Maharashtra,Dhule,20.9,74.78,8.94927536231884,178.91304347826087,1883.2877437613577
Maharashtra,Hingoli,19.72,77.15,9.415942028985508,140.81159420289856,2124.688790568384
Maharashtra,Jalgaon,21.05,76.53,9.090579710144928,159.94202898550725,1589.8176052892536
Maharashtra,Jalna,19.83,75.88,9.029710144927536,129.1014492753623,1907.1937652762178
Maharashtra,Kolhapur,16.7,74.22,6.455072463768116,159.2463768115942,714.0245912896348
Maharashtra,Latur,18.4,76.58,11.330434782608695,139.3840579710145,3018.031513362046
Maharashtra,Mumbai,18.98,72.83,7.86624203821656,129.77070063694268,1307.767966980163
Maharashtra,Nagaon,17.47,73.62,4.083333333333333,93.08695652173913,148.7790982016849
Maharashtra,Nagpur,21.15,79.1,4.880434782608695,147.2826086956522,255.52204574443635
Maharashtra,Nanded,19.15,77.33,8.66304347826087,148.731884057971,1660.227747717964
Maharashtra,Nandurbar,21.37,74.25,10.747826086956522,166.31884057971016,2564.60733472631
Maharashtra,Osmanabad,18.17,76.05,14.430434782608696,117.7463768115942,3559.9920888333268
Maharashtra,Palghar,19.68,72.75,8.242335766423357,97.33576642335767,1421.062668198272
Maharashtra,Parbhani,19.27,76.78,9.67536231884058,147.80434782608697,2180.1022948226637
